abertausend 	abertausend, Abertausend	abertausend, *Abertausend*
Tomographie	Tomographie	Tomographie / Tomografie; der Begriff der Tomographie / Tomografie fasst verschiedene bildgebende Verfahren zusammen; entsprechend: Computertomographie / Computertomografie; Elektrokardiographie / Elektrokardiografie; Kymographie / Kymografie; Organographie / Organografie; Polygraphie / Polygrafie; Radiographie / Radiografie; Röntgenographie / Röntgenografie; Sonographie / Sonografie 
tieferlegen; tiefergelegt	tiefer legen; tiefer gelegt	tieferlegen; tiefergelegt: ein tiefergelegter Sportwagen 
tiefgehend	tief gehend	tief gehend / tiefgehend; eine tief gehende / tiefgehende Analyse 
tiefgreifend	tief greifend	tief greifend / tiefgreifend; ein tief greifender / tiefgreifender Einschnitt 
Tonic water	Tonicwater	Tonicwater (kurz: Tonic); als Marke der Firma Schweppes auch: Tonic Water 
Trekking	Trekking	Trekking / Trecking; sie planten eine mehrtägige Trekkingtour / Treckingtour 
trockenwischen (mit Wischen trocknen)  trocken wischen (mit einem trockenen Tuch wischen)	trocken wischen   trocken wischen	trocken wischen / trockenwischen (mit Wischen trocknen)  trocken wischen  (mit einem trockenen Tuch wischen) 
übelnehmen	übel nehmen	übel nehmen / übelnehmen; das nehme ich dir übel; sie konnte ihm nichts übel nehmen / übelnehmen; ich bitte, das nicht übel zu nehmen / übelzunehmen 
übelriechend	übel riechend	übel riechend / übelriechend; die übel riechenden / übelriechenden Abfälle im Hof; das übel Riechende / Übelriechende beseitigen 
übelwollen	übel wollen	übelwollen; Menschen, die uns übelwollen, übelwollende Menschen 
überhandnehmen	überhand nehmen	überhandnehmen; die Störungen nehmen überhand; die Spam-Mails drohen überhandzunehmen 
überschwenglich	überschwänglich	überschwänglich; die Gäste wurden mit überschwänglicher Freude empfangen 
um so	umso	umso; das ist umso besser! 
unselbständig   Unselbständigkeit	unselbstständig / selbständig  Unselbstständigkeit / Unselbständigkeit	unselbstständig /  unselbständig  Unselbstständigkeit / Unselbständigkeit 
untenliegend	unten liegend	unten liegend / untenliegend; ein Motor mit unten liegender / untenliegender Nockenwelle; das unten Liegende / Untenliegende zuoberst kehren 
untenstehend	unten stehend	unten stehend / untenstehend; bitte die unten stehenden / untenstehenden Anmerkungen beachten; das unten Stehende / Untenstehende beachten 
unterderhand	unter der Hand	unter der Hand; da lässt sich unter der Hand (im Geheimen) sicher etwas machen 
verloren geben	verloren geben	verloren geben / verlorengeben; sie hatten das Turnier frühzeitig verloren gegeben / verlorengegeben (= die Hoffnung auf einen Sieg aufgegeben) 
verlorengehen	verloren gehen	verloren gehen / verlorengehen; der Ausweis darf nicht verloren gehen / verlorengehen; der verloren gegangene / verlorengegangene Ausweis; aber nur: Verlorengegangenes; und nur: verschüttgehen (Umgangssprache) 
vermissen lassen	vermissen lassen	vermissen lassen / vermissenlassen; jegliches Feingefühl vermissen lassen / vermissenlassen 
verselbständigen	verselbstständigen / verselbständigen	verselbstständigen / verselbständigen; die Dinge haben sich verselbstständigt / verselbständigt 
vielsagend	viel sagend	viel sagend / vielsagend; ein viel sagender / vielsagender Hinweis; sein Blick war viel sagend / vielsagend 
vielversprechend	viel versprechend	viel versprechend / vielversprechend; ein viel versprechendes / vielversprechendes Talent 
vielzitiert	viel zitiert	viel zitiert / vielzitiert; ein viel zitierter / vielzitierter Denker; eine viel zitierte / vielzitierte Politikerin 
vis-à-vis	vis-a-vis / vis-à-vis	vis-a-vis / vis-à-vis (gegenüber); das Hotel liegt vis-a-vis / vis-à-vis dem Hauptbahnhof, aber: das Visavis (das Gegenüber) 
vollaufen	voll laufen	volllaufen; er hatte sich in der Kneipe volllaufen lassen; die Wanne ist vollgelaufen 
von neuem	von neuem	von neuem / von Neuem; sie versuchten es von neuem / von Neuem; jetzt müssen wir ganz von neuem / von Neuem anfangen! 
von seiten	vonseiten / von Seiten	vonseiten / von Seiten; es gab Einwände vonseiten / von Seiten der Opposition 
vonstatten gehen	vonstatten gehen	vonstattengehen; die Arbeiten am Haus gingen sehr rasch vonstatten; er kritisierte, wie das Projekt vonstattengegangen war 
von weitem	von weitem	von weitem / von Weitem; er sah sie schon von weitem / von Weitem kommen; entsprechend: von nahem / von Nahem 
vorgestern nacht	vorgestern Nacht	vorgestern Nacht; seit vorgestern Nacht haben wir wieder Winterzeit; aber: vorgestern früh / vorgestern Früh 
vor kurzem	vor kurzem	vor kurzem / vor Kurzem; sie sind erst vor kurzem / vor Kurzem in diese Stadt gezogen; entsprechend: seit kurzem / seit Kurzem; binnen kurzem / binnen Kurzem 
vorliebnehmen	vorlieb nehmen	vorliebnehmen; mit einem Gebrauchtwagen vorliebnehmen; der Verkäufer bat, mit einem Gutschein vorliebzunehmen 
Waggon	Waggon / Wagon	Waggon / Wagon (Eisenbahnwagen) 
wahr machen	wahr machen	wahr machen / wahrmachen; er plante, die Drohung wahr zu machen / wahrzumachen 
warmlaufen; den Motor warmlaufen lassen  warm laufen; sich (beim Sport) warm laufen	warm laufen; den Motor warm laufen lassen; sich (beim Sport) warm laufen	warm laufen; den Motor warm laufen lassen; sich beim Sport warm laufen  warmlaufen; sich im Gespräch warmlaufen (= eingewöhnen) 
Wächte	Wechte	Wechte (Schneeanwehung; überhängende Schneemassen im Gebirge); die Wechte drohte abzubrechen und eine Lawine auszulösen 
weh tun	wehtun	wehtun / weh tun; hast du dir wehgetan / weh getan? 
weitreichend	weit reichend	weit reichend / weitreichend; weit reichende / weitreichende Änderungen; weiter reichende oder weitreichendere Änderungen, am weitesten reichende oder weitreichendste Änderungen 
wichtig machen	wichtig machen	wichtigmachen; er neigte dazu, sich wichtigzumachen 
wiederfinden	wieder finden	wiederfinden; er hatte das Portemonnaie unter dem Bett wiedergefunden; sie fand sich in einer bunten Menge wieder; in dir kann ich mich wiederfinden! 
wiedersehen (ein Wiedersehen erleben)   wieder sehen (erneut sehen)	wieder sehen	wiedersehen (ein Wiedersehen erleben); er freute sich, sie wiederzusehen  wieder sehen (erneut sehen); den Film habe ich schon dreimal gesehen, erst letzte Woche habe ich ihn wieder gesehen 
wiederverwendbar	wieder verwendbar	wiederverwendbar; diese Senfgläser sind als Saftgläser wiederverwendbar; aber: nachdem er den Computer repariert hatte, war dieser wieder verwendbar 
wieviel; aber: wie viele	wie viel	wie viel; weißt du, wie viel Sternlein stehen?; aber: ich weiß nicht, wievielmal (auch: wie viel Mal) ich schon am Meer gewesen bin; zu wievielt (auch: zu wie vielen) wart ihr? 
wohlbekannt	wohl bekannt	wohl bekannt / wohlbekannt; ein wohl bekanntes / wohlbekanntes (= gut bekanntes) Kirchenlied; aber: ein wohl (= vermutlich) bekanntes Problem 
wohldurchdacht	wohl durchdacht	wohl durchdacht / wohldurchdacht; ein wohl durchdachter / wohldurchdachter Plan 
wohl fühlen	wohl fühlen	wohl fühlen / wohlfühlen; ich habe mich bei euch sehr wohl gefühlt / wohlgefühlt 
wohlverdient	wohlverdient	wohlverdient; ein wohlverdienter Urlaub (hier gab es nie eine Änderung!) 
wohlversorgt	wohl versorgt	wohl versorgt / wohlversorgt; durch die Rente waren sie wohl versorgt / wohlversorgt; aber nur: mit der Abfindung bist du wohl (vermutlich) versorgt 
x-beliebig; jeder x-beliebige	x-beliebig;  jeder x-Beliebige	x-beliebig; jeder x-Beliebige 
x-te; zum x-tenmal; aber: zum x-ten Male	x-te; zum x-ten Mal[e]	x-te;  zum x-ten Mal[e];  die x-te Wiederholung; das habe ich dir jetzt schon zum x-ten Mal gesagt! 
Xerographie	Xerografie / Xerographie	Xerografie / Xerographie (ein Vervielfältigungsverfahren) 
Xylophon	Xylofon / Xylophon	Xylofon / Xylophon (ein Musikinstrument, bei dem Holzstäbe mit Holzklöppeln angeschlagen werden); entsprechend: Saxofon / Saxophon; Sousafon / Sousaphon (Basstuba); Vibrafon / Vibraphon; aber: Grammofon / Grammophon 
Yacht / Jacht	Yacht / Jacht	Yacht / Jacht; nachts liegen die Yachten / Jachten im Yachthafen / Jachthafen 
Yankee-doodle	Yankee Doodle	Yankee Doodle (bekanntes amerikanisches Lied; offizielle Hymne von Connecticut) 
Yellow Press	Yellowpress / Yellow Press	Yellow Press; man darf nicht alles glauben, was in der Yellow Press (= Klatschpresse) steht 
Yo-Yo / Jo-Jo	Yo-Yo / Jo-Jo	Yo-Yo / Jo-Jo; sie spielte gerne mit ihrem Yo-Yo / Jo-Jo; aber nur: der Jo-Jo-Effekt 
Yoghurt	Yoghurt	Yoghurt vgl. --> Joghurt / Jogurt 
Zäheit	Zähheit	Zähheit; sie zeichnete sich durch viel Ausdauer und Zähheit aus 
zeitraubend	zeitraubend	Zeit raubend / zeitraubend; aber nur: ein äußerst zeitraubendes Prozedere, das zeitraubendste Verfahren; ein viel Zeit raubender Vorgang; entsprechend: Zeit sparend / zeitsparend 
Zierat	Zierrat	Zierrat; die Schatulle war mit allerlei Zierrat versehen 
zigtausend    Zigtausende	zigtausend / Zigtausend    Zigtausende / zigtausende	zigtausend / Zigtausend; es sind zigtausend / Zigtausend Sterne am Himmel  Zigtausende / zigtausende; es waren Zigtausende / zigtausende von Menschen auf der Veranstaltung 
zu eigen	zu Eigen	zu eigen; er machte sich die Theorien des Kollegen zu eigen; ich gebe dir dieses Buch zu eigen; aber: etwas sein Eigen nennen 
zufriedengeben	zufrieden geben	zufriedengeben; es entsprach seiner Art, sich mit wenig zufriedenzugeben; sie hatte sich mit einer Abfindung zufriedengegeben 
zufriedenstellen	zufrieden stellen	zufrieden stellen / zufriedenstellen; sie war leicht zufrieden zu stellen / zufriedenzustellen; das ist ein rundum zufrieden stellendes / zufriedenstellendes Ergebnis; aber nur: das Ergebnis war zufriedenstellender als letztes Jahr 
zugrunde	zugrunde / zu Grunde	zugrunde / zu Grunde; die Firma ging in den neunziger Jahren zugrunde / zu Grunde; der Hausbau drohte ihn zugrunde / zu Grunde zu richten 
zugrundeliegend	zugrunde liegend / zu Grunde liegend	zugrunde liegend / zu Grunde liegend / zugrundeliegend; das zugrunde liegende / zu Grunde liegende / zugrundeliegende Prinzip; aber: hier scheint ein anderes Prinzip zugrunde zu liegen / zu Grunde zu liegen 
zugunsten	zu Gunsten	zu Gunsten / zugunsten; der Richter entschied zu Gunsten / zugunsten des Angeklagten 
zugute halten	zugute halten	zugutehalten; er hielt sich einiges auf seine gewählte Ausdrucksweise zugute; dem Angeklagten wurde sein umfassendes Geständnis zugutegehalten; dem Angeklagten ist sein umfassendes Geständnis zugutezuhalten 
zugute kommen	zugute kommen	zugutekommen; er will sein Vermögen den Armen zugutekommen lassen 
zu Haus / zu Hause; österr. und schweiz. auch: zuhause	zu Haus / zu Hause; österr. und schweiz. auch: zuhause	zu Haus / zu Hause / zuhause; aber: das Zuhause. In unserem neuen Zuhause fühlen wir uns ganz zu Haus / zu Hause / zuhause. 
zu Lasten	zulasten / zu Lasten	zulasten / zu Lasten; der technische Fortschritt darf nicht zulasten / zu Lasten der Umwelt gehen 
zunichte machen	zunichte machen	zunichtemachen; der Sturm hatte die Ernte auf einen Schlag zunichtegemacht 
zunutze	zu Nutze / zunutze	zu Nutze / zunutze; die Erfindung macht sich neue wissenschaftliche Erkenntnisse zu Nutze / zunutze 
zupaß kommen /  zupasse kommen	zupass kommen / zupasse kommen	zupasskommen / zupassekommen; die Erbschaft kam ihm gerade zupass / zupasse; das Wetter ist uns sehr zupassgekommen / zupassegekommen 
zu Rate	zurate / zu Rate	zurate / zu Rate; er musste einen Fachmann zurate / zu Rate ziehen; er ging mit sich zurate / zu Rate (dachte gründlich nach); sie saßen zurate / zu Rate (beratschlagten sich) 
zurzeit / zur Zeit (jetzt; im Augenblick)   zur Zeit (zu einer näher bestimmten Zeit)	zurzeit (jetzt; im Augenblick)   zur Zeit (zu einer näher bestimmten Zeit)	zurzeit (jetzt; im Augenblick); zurzeit lebt sie im Ausland  zur Zeit (zu einer näher bestimmten Zeit); zur Zeit Bismarcks, zur Zeit der Ernte 
zusammensein	zusammen sein	zusammen sein; sie waren drei Jahre zusammen gewesen; es macht Spaß, mit euch zusammen zu sein 
zusein	zu sein	zu sein; als wir kamen, war der Supermarkt schon zu gewesen; er war total zu (= berauscht; betrunken) gewesen 
zu seiten	zuseiten / zu Seiten	zuseiten / zu Seiten (= auf beiden Seiten); zuseiten / zu Seiten des Bahndamms gab es viel Wildwuchs 
zustande	zustande / zu Stande	zustande / zu Stande; der zustande / zu Stande gekommene Beschluss; eindrucksvoll, was manche einer alleine zustande / zu Stande bringt! 
zutage	zutage / zu Tage	zutage / zu Tage; der Prozess brachte unangenehme Wahrheiten zutage / zu Tage; erstaunlich, was da zutage / zu Tage kommt! 
zuteil werden	zuteil werden	zuteilwerden; ihr wurde viel Glück zuteil; ihm ist ein hartes Los zuteilgeworden 
zuungunsten	zu Ungunsten	zu Ungunsten / zuungunsten; eine Firmenentscheidung zu Ungunsten / zuungunsten der Aktionäre 
